period,metric,value
2018-01-01,"Нефтегазовые доходы, всего",661.3
2018-02-01,"Нефтегазовые доходы, всего",628.2
2018-03-01,"Нефтегазовые доходы, всего",570.1
2018-04-01,"Нефтегазовые доходы, всего",630.7
2018-05-01,"Нефтегазовые доходы, всего",684.5
2018-06-01,"Нефтегазовые доходы, всего",760.2
2018-07-01,"Нефтегазовые доходы, всего",749.2
2018-08-01,"Нефтегазовые доходы, всего",817.5
2018-09-01,"Нефтегазовые доходы, всего",800.3
2018-10-01,"Нефтегазовые доходы, всего",920.0
2018-11-01,"Нефтегазовые доходы, всего",959.6
2018-12-01,"Нефтегазовые доходы, всего",836.1
2019-01-01,"Нефтегазовые доходы, всего",680.8
2019-02-01,"Нефтегазовые доходы, всего",686.6
2019-03-01,"Нефтегазовые доходы, всего",626.1
2019-04-01,"Нефтегазовые доходы, всего",729.2
2019-05-01,"Нефтегазовые доходы, всего",697.7
2019-06-01,"Нефтегазовые доходы, всего",701.6
2019-07-01,"Нефтегазовые доходы, всего",661.0
2019-08-01,"Нефтегазовые доходы, всего",624.6
2019-09-01,"Нефтегазовые доходы, всего",600.5
2019-10-01,"Нефтегазовые доходы, всего",668.7
2019-11-01,"Нефтегазовые доходы, всего",588.7
2019-12-01,"Нефтегазовые доходы, всего",658.8
2020-01-01,"Нефтегазовые доходы, всего",615.9
2020-02-01,"Нефтегазовые доходы, всего",608.3
2020-03-01,"Нефтегазовые доходы, всего",563.7
2020-04-01,"Нефтегазовые доходы, всего",434.6
2020-05-01,"Нефтегазовые доходы, всего",214.2
2020-06-01,"Нефтегазовые доходы, всего",224.3
2020-07-01,"Нефтегазовые доходы, всего",341.0
2020-08-01,"Нефтегазовые доходы, всего",404.9
2020-09-01,"Нефтегазовые доходы, всего",447.1
2020-10-01,"Нефтегазовые доходы, всего",474.5
2020-11-01,"Нефтегазовые доходы, всего",453.7
2020-12-01,"Нефтегазовые доходы, всего",453.0
2021-01-01,"Нефтегазовые доходы, всего",490.8
2021-02-01,"Нефтегазовые доходы, всего",544.9
2021-03-01,"Нефтегазовые доходы, всего",582.5
2021-04-01,"Нефтегазовые доходы, всего",889.8
2021-05-01,"Нефтегазовые доходы, всего",620.9
2021-06-01,"Нефтегазовые доходы, всего",647.0
2021-07-01,"Нефтегазовые доходы, всего",994.0
2021-08-01,"Нефтегазовые доходы, всего",695.8
2021-09-01,"Нефтегазовые доходы, всего",718.9
2021-10-01,"Нефтегазовые доходы, всего",1107.9
2021-11-01,"Нефтегазовые доходы, всего",884.7
